suborder_index,suborder_distance,start_station,end_station,start_time,end_time,promise_time,actual_time,driver_price
0.0,53.17,75.0,74.0,9.95,11.4,1.05,1.45,262.08
1.0,130.57,74.0,65.0,12.48,14.92,2.02,2.44,429.8
2.0,118.46,65.0,57.0,15.27,18.16,2.73,2.89,340.89
3.0,56.05,57.0,56.0,19.97,21.08,0.53,1.11,238.23
4.0,127.97,56.0,50.0,22.16,24.19,2.08,2.03,419.06
5.0,139.18,50.0,39.0,25.08,27.06,2.5,1.98,470.39
6.0,111.45,39.0,31.0,28.04,30.69,2.96,2.65,320.8
7.0,75.92,31.0,22.0,31.72,32.67,0.78,0.95,348.14
8.0,100.09,22.0,13.0,33.93,35.31,1.67,1.38,389.7
9.0,143.37,13.0,4.0,36.8,39.42,3.33,2.62,438.95
